N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
254;En el contexto de PMBOK 7, ¿qué se entiende por 'tailoring' o adaptación?;Diseñar el uniforme del equipo del proyecto;Seleccionar y ajustar el enfoque, los procesos y las herramientas de gestión según las características específicas del proyecto;Reducir el alcance del proyecto para ajustarlo al presupuesto;Personalizar los informes de desempeño para cada interesado;B;El tailoring es uno de los principios del PMBOK 7: adaptar el enfoque, los métodos y los artefactos al contexto único del proyecto en lugar de aplicar un marco rígido.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Reservas: Contingencia = riesgos conocidos-desconocidos (en línea base de costo). Gestión = riesgos desconocidos-desconocidos (fuera de línea base).
255;¿Qué tipo de riesgo es el 'riesgo secundario'?;Un riesgo identificado pero de baja prioridad;Un riesgo que surge como consecuencia directa de implementar una respuesta a otro riesgo;Un riesgo transferido a un tercero;Un riesgo que afecta múltiples proyectos simultáneamente;B;El riesgo secundario es aquel que se crea como consecuencia de aplicar una respuesta a un riesgo original. Debe identificarse y planificarse junto con la respuesta principal.;Personas;Tarea 9: Comprometer interesados;Predictivo;Matriz Poder/Interés: Alta poder + Alto interés = Gestionar de cerca. Alta poder + Bajo interés = Mantener satisfecho. No ignores nunca.
256;Un director de proyecto en un entorno predictivo descubre que el equipo está aplicando mejoras no aprobadas al producto. ¿Qué problema representa esto?;Gestión deficiente del equipo;Gold plating: agregar características no autorizadas que consumen recursos sin aprobación;Riesgo de calidad en los entregables;Incumplimiento del plan de comunicaciones;B;El gold plating representa un incumplimiento del alcance aprobado. Aunque parece positivo, consume recursos no planificados y puede introducir riesgos no evaluados.;Procesos;Tarea 15: Gestionar el cambio organizacional;Híbrido;PMI Mindset: La gestión del cambio organizacional asegura que los beneficios del proyecto sean adoptados. El PM facilita la transición.
257;¿Cuál es el objetivo del proceso 'Monitorear y Controlar el Trabajo del Proyecto'?;Ejecutar las tareas del cronograma;Rastrear, revisar e informar sobre el avance general del proyecto para cumplir los objetivos del plan;Aprobar los entregables completados;Gestionar los cambios de alcance;B;Este proceso compara el desempeño real con el plan, identifica desviaciones, implementa acciones correctivas y reporta el estado del proyecto a los interesados.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;Evaluación de proveedores: Criterios ponderados → objetividad. El proceso de selección debe ser justo, documentado y libre de sesgos o conflictos.
258;En un proyecto ágil, ¿qué es el 'WIP Limit' (límite de trabajo en progreso)?;El número máximo de historias de usuario que puede tener el backlog;La restricción en la cantidad de trabajo que puede estar simultáneamente en una etapa del proceso;El límite de tiempo para completar un sprint;El presupuesto máximo por iteración;B;Los WIP Limits son restricciones en el número de elementos que pueden estar en una columna del tablero Kanban al mismo tiempo, mejorando el flujo y detectando cuellos de botella.;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset PMBOK 7: Dominio de Incertidumbre = gestionar ambigüedad, volatilidad y complejidad con estrategias adaptativas y experimentación.
259;¿Qué herramienta representa visualmente la distribución de la probabilidad de los resultados del proyecto?;Diagrama de Gantt;Curva S;Curva de distribución de probabilidad (resultado de Monte Carlo);Diagrama de Ishikawa;C;La simulación de Monte Carlo genera miles de escenarios y produce distribuciones de probabilidad que muestran el rango de posibles duraciones o costos del proyecto con su probabilidad asociada.;Personas;Tarea 14: Promover colaboración;Ágil;PMI Mindset: Retrospectiva = mejora continua del proceso, no del producto. Las mejoras acordadas deben implementarse en el siguiente sprint.
260;¿Cuándo se actualiza el registro de riesgos durante el proyecto?;Solo durante la planificación;Solo cuando ocurre un riesgo;Continuamente a lo largo del proyecto, en cada proceso de monitoreo;Al inicio de cada fase;C;El registro de riesgos es un documento vivo que se actualiza a medida que se identifican nuevos riesgos, se cierran riesgos resueltos y se modifican respuestas durante todo el ciclo de vida.;Procesos;Tarea 17: Gestionar el cierre;Predictivo;PMI Mindset: Las lecciones aprendidas se documentan DURANTE el proyecto, no solo al final. Al cierre, se archivan en los OPA organizacionales.
261;¿Qué es la 'Variación del Cronograma' (SV) y qué indica si es negativa?;"SV = EV - PV; si es negativa, el proyecto está atrasado";"SV = PV - AC; si es negativa, el proyecto está sobre presupuesto";"SV = EV - AC; si es negativa, el proyecto está atrasado y sobre presupuesto";"SV = BAC - EAC; si es negativa, el proyecto excederá el presupuesto";A;SV (Schedule Variance) = EV - PV. Un valor negativo indica que el proyecto está atrasado respecto al plan: se ha completado menos trabajo del planificado a la fecha de corte.;Personas;Tarea 3: Promover colaboración;Ágil;PMI Mindset: Co-location (osmotic communication) facilita comunicación en ágil. Si no es posible, usar herramientas de colaboración equivalentes.
262;En proyectos ágiles, ¿qué es el 'Sprint Backlog'?;La lista completa de todos los requisitos del producto;El subconjunto de elementos del Product Backlog seleccionados para el sprint más el plan del equipo para lograr el Sprint Goal;El historial de sprints completados del proyecto;La lista de impedimentos identificados en el sprint;B;El Sprint Backlog es creado durante el Sprint Planning. Contiene los elementos del Product Backlog comprometidos para el sprint y el plan del equipo para convertirlos en un Incremento.;Procesos;Tarea 2: Ejecutar el plan;Predictivo;PMI Mindset: El informe de desempeño del trabajo comunica el estado del proyecto a los interesados. Debe ser oportuno, claro y basado en datos reales.
263;¿Cuál es el objetivo del proceso 'Gestionar la Participación de los Interesados'?;Identificar a todos los interesados del proyecto;Comunicarse y trabajar con los interesados para satisfacer sus necesidades, abordar problemas y fomentar el involucramiento apropiado;Evaluar el nivel de satisfacción de los interesados al cierre;Actualizar el plan de gestión de comunicaciones;B;Este proceso se centra en la ejecución: actuar para involucrar a los interesados, gestionar sus expectativas y resolver sus inquietudes a lo largo del proyecto.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: La gobernanza organizacional incluye políticas, procedimientos y marcos que el proyecto debe respetar. Son restricciones del proyecto.
264;En la gestión de costos, ¿qué es la 'reserva de gestión'?;El presupuesto para cubrir riesgos identificados;Fondos adicionales reservados para cambios imprevistos en el alcance, fuera de la línea base de costos;El margen de ganancia incluido en el presupuesto;Los recursos financieros de contingencia del cronograma;B;La reserva de gestión está por encima de la línea base de costos y cubre cambios de alcance no planificados. Requiere aprobación formal para ser utilizada y modificar la línea base.;Personas;Tarea 8: Proporcionar mentoría;Híbrido;PMI Mindset: Coaching ≠ Mentoría. Coaching = facilitar el descubrimiento propio. Mentoría = compartir experiencia. Ambas desarrollan al equipo.
265;¿Qué describe el 'Ciclo de Vida Iterativo' en la gestión de proyectos?;Un ciclo donde el alcance se define completamente al inicio;Enfoque donde el alcance se elabora progresivamente en cada iteración, mejorando el producto incrementalmente;Un enfoque sin fases formales de planificación;Un ciclo de vida exclusivo para proyectos de software;B;En el ciclo iterativo, el equipo refina y elabora el producto en sucesivas iteraciones. El alcance no está fijo al inicio sino que evoluciona con cada ciclo de retroalimentación.;Procesos;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: El Plan de Involucramiento de Interesados define estrategias para llevarlos de 'resistente' a 'líder'. Se actualiza continuamente.
266;Un director de proyecto recibe una solicitud de cambio aprobada que impacta el cronograma en +3 semanas. ¿Qué documentos deben actualizarse?;Solo el cronograma del proyecto;El plan para la dirección del proyecto, la línea base del cronograma, el registro de cambios y las comunicaciones a interesados relevantes;Solo el acta de constitución del proyecto;El registro de riesgos y el plan de calidad;B;Un cambio aprobado requiere actualizar todas las líneas base afectadas, el plan de dirección del proyecto, el registro de cambios y comunicar a los interesados pertinentes.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;Nivelación de recursos vs. Compresión: Nivelación elimina sobrecarga pero extiende cronograma. Crashing agrega costo. Elige según prioridad.
267;En PMBOK 7, ¿cuál es el dominio de desempeño que se ocupa del trabajo necesario para producir los entregables del proyecto?;Dominio de planificación;Dominio de entrega;Dominio de trabajo del proyecto;Dominio de medición;C;El Dominio de Trabajo del Proyecto abarca actividades para establecer procesos del proyecto, gestionar el aprendizaje, el conocimiento y las comunicaciones para mantener el trabajo en curso.;Procesos;Tarea 13: Determinar metodología;Híbrido;PMI Mindset: La selección del ciclo de vida (predictivo/ágil/híbrido) depende del nivel de incertidumbre, estabilidad de requisitos y velocidad de entrega.
268;¿Qué es el 'Tiempo de Ciclo' (Cycle Time) en metodologías ágiles?;La duración total del proyecto;El tiempo que tarda un elemento de trabajo desde que el equipo comienza a trabajar activamente en él hasta que se completa;La duración de cada Sprint;El tiempo promedio entre la creación y el inicio de trabajo de un elemento;B;El Cycle Time mide la eficiencia del proceso. Reducirlo indica que el equipo es más eficiente. Es diferente al Lead Time, que mide desde la solicitud hasta la entrega.;Personas;Tarea 7: Demostrar liderazgo;Híbrido;PMI Mindset: Inteligencia emocional = autoconciencia + autorregulación + empatía + habilidades sociales. Clave para liderar equipos diversos.
269;¿Qué proceso determina los requisitos de información y comunicación de los interesados?;Identificar a los interesados;Gestionar la participación de los interesados;Planificar la gestión de las comunicaciones;Controlar las comunicaciones;C;Planificar la Gestión de las Comunicaciones determina qué información necesita cada interesado, cuándo, con qué frecuencia y a través de qué canales.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;Análisis cuantitativo: Monte Carlo = simular miles de escenarios para estimar rangos de costo/cronograma. Más preciso que el cualitativo.
270;En un proyecto, el análisis de valor ganado muestra CPI = 0.75 consistentemente durante 6 períodos. ¿Cuál es la mejor fórmula de EAC para proyectar el costo final?;EAC = AC + ET;EAC = BAC / CPI;EAC = AC + (BAC - EV);EAC = BAC + reservas;B;Cuando el CPI es consistentemente desfavorable y no se espera mejoría, la fórmula EAC = BAC/CPI es la más realista, asumiendo que el desempeño actual continuará hasta el final.;Entorno;Tarea 4: Gestionar beneficios;Híbrido;PMI Mindset: La realización de beneficios puede ocurrir durante o después del proyecto. El PM debe asegurar la transición al área operativa.
271;¿Cuál es el propósito de la 'Revisión del Desempeño del Trabajo' durante la ejecución?;Aprobar los pagos a proveedores;Comparar el desempeño real con la línea base para identificar variaciones y tomar acciones correctivas;Revisar los requisitos con el cliente;Actualizar el registro de interesados;B;Las revisiones de desempeño analizan la variación entre el plan y el estado real del proyecto (alcance, cronograma, costo, calidad) para identificar áreas de acción.;Procesos;Tarea 5: Gestionar alcance;Predictivo;PMI Mindset: Gold Plating = agregar extras no solicitados. Está prohibido en PMI aunque sea 'gratis'. Cambia el alcance sin aprobación formal.
272;¿Qué principio del PMBOK 7 establece que los equipos de proyecto deben colaborar, promover la inclusión y la diversidad para mejorar los resultados?;Enfocarse en el valor;Crear un entorno colaborativo del equipo;Adoptar la adaptabilidad y la resiliencia;Demostrar comportamientos de liderazgo efectivo;B;El principio de 'Crear un entorno colaborativo' enfatiza la cohesión del equipo, la inclusión, la confianza mutua y la colaboración como elementos clave del éxito del proyecto.;Personas;Tarea 4: Empoderar miembros del equipo;Ágil;"PMI Mindset: En Scrum, nadie dirige al equipo durante el Sprint. El Scrum Master remueve impedimentos; el equipo decide cómo trabajar."
273;Un proyecto de construcción tiene una actividad en la ruta crítica que toma 20 días. El director decide añadir un turno adicional, reduciendo la actividad a 12 días con un costo extra de 15,000. ¿Qué técnica aplicó?;Fast Tracking;Crashing;Nivelación de recursos;Compresión del alcance;B;El Crashing es la técnica de añadir recursos (turnos adicionales, personal extra) a las actividades de la ruta crítica para reducir su duración, incurriendo en costos adicionales.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;PMI Mindset: El presupuesto del proyecto = Línea Base de Costos + Reservas de Gestión. Las reservas de contingencia van dentro de la línea base.
274;¿Qué es el 'Lead' (adelanto) en la secuencia de actividades del cronograma?;Tiempo de retraso entre el inicio de una actividad sucesora y la terminación de su predecesora;Tiempo que permite el inicio anticipado de una actividad sucesora antes de que termine su predecesora;El tiempo total de la ruta crítica;La holgura disponible en actividades no críticas;B;El Lead (adelanto) permite que una actividad sucesora comience antes de que su predecesora termine completamente, comprimiendo el cronograma sin ejecutar en paralelo completo.;Procesos;Tarea 10: Gestionar cambios;Predictivo;PMI Mindset: Una solicitud de cambio rechazada debe documentarse. El historial de cambios es parte de los activos del proyecto.
275;En PMBOK 7, ¿cuál de las siguientes representa mejor una 'incertidumbre profunda'?;Un riesgo con probabilidad e impacto cuantificables;Un riesgo cuya probabilidad puede estimarse con datos históricos;Situaciones donde ni siquiera sabemos qué es lo que no sabemos (unknowns unknowns);Un riesgo con impacto conocido pero probabilidad incierta;C;La incertidumbre profunda (VUCA extrema) se refiere a los 'unknown unknowns': situaciones tan impredecibles que no podemos anticipar ni siquiera su existencia, requiriendo enfoques experimentales y adaptativos.;Personas;Tarea 6: Generar entendimiento compartido;Híbrido;PMI Mindset: El kickoff meeting alinea expectativas y establece el tono del proyecto. Es la primera oportunidad de gestionar interesados activamente.
276;¿Qué es el 'Análisis de Variación' en la gestión del cronograma?;El proceso de identificar las causas de variación en los costos del proyecto;La revisión de la diferencia entre el desempeño planificado y el real en el cronograma para determinar si se requieren acciones correctivas;La técnica para calcular la holgura de las actividades;El análisis estadístico de la duración de las actividades;B;El análisis de variación del cronograma compara el desempeño real con la línea base para identificar las causas de las desviaciones y determinar si se necesitan acciones correctivas.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset PMBOK 7: Los 8 Dominios de Desempeño son: Interesados, Equipo, Enfoque, Planificación, Trabajo, Entrega, Medición, Incertidumbre.
277;En un proyecto ágil, si el equipo tiene una velocidad de 35 puntos/sprint y el Product Backlog tiene 280 puntos restantes, ¿cuántos sprints se necesitarán aproximadamente para completar el proyecto?;6 sprints;7 sprints;8 sprints;9 sprints;C;280 / 35 = 8 sprints. Esta es una proyección basada en la velocidad histórica del equipo, sujeta a variaciones si la velocidad cambia o si se agregan elementos al backlog.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: Fórmula de canales = n(n-1)/2. A mayor número de interesados, más canales y más compleja la comunicación. Planifica con anticipación.
278;¿Cuál es la diferencia principal entre la 'Gestión de Proyecto' y la 'Gestión de Programa'?;La gestión de programa tiene mayor presupuesto;La gestión de programa coordina proyectos relacionados para obtener beneficios que no se lograrían gestionándolos de forma individual;La gestión de programa es exclusiva para proyectos de TI;La gestión de proyecto incluye la gestión de múltiples programas;B;Un programa es un grupo de proyectos relacionados gestionados de forma coordinada para obtener beneficios y control que no serían posibles si se gestionaran por separado.;Personas;Tarea 2: Liderar un equipo;Ágil;PMI Mindset: En Ágil, el liderazgo es compartido y emergente. El PM actúa como facilitador y servant leader, no como comandante.
279;¿Qué técnica se usa para agrupar proyectos similares en una organización para facilitar su gestión y priorización?;Estructura de Desglose del Trabajo (EDT);Gestión de Portafolios;Metodología ágil;Análisis de Valor Ganado;B;La gestión de portafolios agrupa proyectos y programas alineados con los objetivos estratégicos de la organización, priorizando inversiones para maximizar el retorno.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Diagrama de causa-efecto (Ishikawa/espina de pescado) identifica causas raíz de problemas de calidad. Úsalo en el Análisis de Causa Raíz.
280;En Scrum, ¿qué es el 'Sprint Goal' (Objetivo del Sprint)?;El número de puntos de historia a completar en el sprint;Un objetivo breve que proporciona guía al equipo sobre por qué se está construyendo el Incremento y da coherencia al Sprint;La lista de tareas del Sprint Backlog;El criterio de aceptación definido por el Product Owner;B;El Sprint Goal es la única razón de ser del Sprint. Brinda al equipo flexibilidad respecto a los elementos exactos del backlog, pero define el valor que se debe lograr.;Personas;Tarea 9: Comprometer interesados;Predictivo;"PMI Mindset: Los interesados cambian durante el proyecto. Monitorea su actitud e interés continuamente; actualiza la estrategia de compromiso."
281;¿Cuál es el propósito de la 'Curva S' en la gestión de proyectos?;Representar la distribución de probabilidad de los riesgos;Mostrar gráficamente el gasto acumulado real y planificado a lo largo del tiempo, permitiendo identificar tendencias;Ilustrar la relación causa-efecto de los problemas de calidad;Mostrar la carga de trabajo por recurso a lo largo del proyecto;B;La curva S representa el gasto acumulado (real vs. planificado) a lo largo del tiempo. Su forma característica en S permite identificar si el proyecto está adelantado o atrasado en costos.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;PMI Mindset: SOW (Declaración de Trabajo) describe lo que el proveedor debe entregar. Debe ser claro y detallado para evitar disputas contractuales.
282;¿Qué es el 'Análisis FODA' y cuándo se usa en gestión de proyectos?;Una técnica para identificar la ruta crítica del proyecto;Un análisis de Fortalezas, Oportunidades, Debilidades y Amenazas usado en la identificación de riesgos;Un modelo para evaluar la madurez de la organización en gestión de proyectos;Una herramienta para calcular el valor ganado del proyecto;B;El análisis FODA (SWOT) examina factores internos (fortalezas y debilidades) y externos (oportunidades y amenazas) y es una técnica útil para la identificación de riesgos.;Personas;Tarea 12: Establecer reglas del equipo;Ágil;PMI Mindset: Las reglas del equipo (working agreements) se establecen en conjunto. Aumentan la cohesión y reducen conflictos. Son propiedad del equipo.
283;¿Qué factor distingue principalmente a un 'proyecto' de un 'proceso de negocio' o 'operación'?;El presupuesto disponible;La temporalidad y unicidad del resultado: los proyectos son temporales y producen resultados únicos;El número de personas involucradas;La complejidad técnica del trabajo;B;Por definición, un proyecto es temporal (tiene inicio y fin) y produce un resultado único. Las operaciones son continuas y repetitivas, diseñadas para producir el mismo resultado consistentemente.;Procesos;Tarea 5: Gestionar alcance;Predictivo;PMI Mindset: El Dictionary de la WBS describe el trabajo de cada paquete. Es la referencia para evitar malentendidos sobre qué está incluido.
284;En la planificación ágil, ¿qué es la 'épica' (epic)?;Una historia de usuario muy bien documentada;Un gran cuerpo de trabajo que puede descomponerse en historias de usuario más pequeñas;El objetivo final del proyecto;Una iteración más larga que el sprint estándar;B;Una épica es una historia de usuario de gran tamaño que no puede completarse en un solo sprint. Debe descomponerse en historias más pequeñas y manejables antes de ser planificada.;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset: En entornos VUCA (Volatilidad, Incertidumbre, Complejidad, Ambigüedad), el PM debe ser ágil mentalmente y ajustar el plan con frecuencia.
285;Un proyecto tiene EV = 300,000, PV = 350,000, AC = 280,000. ¿Cuál es el CPI y qué indica?;CPI = 0.93, sobre presupuesto;CPI = 1.07, bajo presupuesto y eficiente en costos;CPI = 0.86, sobre presupuesto;CPI = 1.25, altamente eficiente en costos;B;CPI = EV/AC = 300,000/280,000 = 1.07. Un CPI > 1 indica que el proyecto está siendo eficiente en costos: se obtiene más valor por cada unidad monetaria gastada.;Personas;Tarea 5: Capacitar al equipo;Ágil;PMI Mindset: En ágil, el equipo es multifuncional. Si falta una habilidad, el equipo la desarrolla o el PM la consigue. No dependas de especialistas externos.
286;¿Cuál es el propósito de la 'Auditoría de Adquisiciones' al final de un proyecto?;Verificar que todos los contratos hayan sido pagados;Revisar el proceso de adquisición para identificar lecciones aprendidas que beneficien proyectos futuros;Evaluar la calidad de los entregables del proveedor;Determinar si el proveedor cumplió con el cronograma;B;La auditoría de adquisiciones revisa el proceso completo de compra para identificar éxitos y fracasos, generando lecciones aprendidas que mejoran futuras adquisiciones.;Procesos;Tarea 16: Gestionar gobernanza;Predictivo;PMI Mindset: Las revisiones de fase (phase gates) son puntos de decisión para continuar, pausar o cancelar. El sponsor y el steering committee deciden.
287;En el contexto de PMBOK 7, ¿qué significa 'navegar la complejidad'?;Evitar proyectos con alta incertidumbre;Evaluar continuamente las interacciones del sistema para abordar fuentes de complejidad y sus efectos;Aplicar metodologías predictivas para reducir la variabilidad;Contratar más recursos para gestionar proyectos complejos;B;Navegar la complejidad es uno de los principios del PMBOK 7: reconocer que los proyectos complejos tienen comportamientos emergentes y requieren pensamiento sistémico para gestionarse.;Personas;Tarea 3: Promover colaboración;Ágil;PMI Mindset: Equipos de alto rendimiento se caracterizan por confianza, comunicación abierta, foco en resultados y responsabilidad colectiva.
288;¿Qué documento formaliza el acuerdo entre el comprador y el vendedor en una adquisición?;El enunciado del trabajo de adquisición (SOW);El contrato (Agreement);El plan de gestión de adquisiciones;La orden de compra preliminar;B;El contrato es el acuerdo legal vinculante entre el comprador y el vendedor que define las obligaciones, los entregables, el precio y las condiciones de la adquisición.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: La holgura libre es el tiempo que puede retrasarse una actividad sin afectar el inicio de la siguiente. La holgura total afecta la fecha final.
289;¿Cuál es la diferencia entre 'Controlar las Comunicaciones' y 'Gestionar las Comunicaciones'?;No hay diferencia, son el mismo proceso;"Gestionar ejecuta el plan de comunicaciones; Controlar asegura que se satisfagan las necesidades de información de los interesados";"Controlar define el plan; Gestionar lo implementa";"Gestionar es para comunicaciones internas; Controlar para externas";B;Gestionar las Comunicaciones (ejecución) implementa el plan distribuyendo información. Controlar las Comunicaciones (monitoreo) asegura que el flujo de información sea óptimo y ajusta el plan si es necesario.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: La sostenibilidad es parte de la responsabilidad del PM. Considera impactos sociales, ambientales y económicos en las decisiones del proyecto.
290;Un director de proyecto descubre que su equipo usa regularmente un proceso informal que no está documentado pero que funciona bien. Desde la perspectiva del PMBOK, ¿qué debería hacer?;Eliminar el proceso informal e implementar solo procesos formales;Documentarlo como una práctica del equipo y considerar incorporarlo a los activos de la organización;Ignorarlo ya que no es parte del plan formal;Reportarlo al PMO como una desviación del plan;B;El PMBOK 7 valora el conocimiento tácito y las prácticas efectivas. Documentar procesos informales exitosos genera activos organizacionales valiosos y fomenta la mejora continua.;Procesos;Tarea 3: Gestionar riesgos;Híbrido;PMI Mindset: Escalación = cuando el riesgo está fuera del nivel de autoridad del PM. Escala al sponsor o PMO, no lo ignores ni lo resuelvas solo.
291;¿Qué es el 'Índice de Desempeño del Cronograma basado en el Trabajo Restante' (SPIt)?;La relación entre el valor planificado y el costo real;Una métrica que mide el ritmo al que debe completarse el trabajo restante para terminar el proyecto a tiempo;El porcentaje de actividades completadas en la ruta crítica;La diferencia entre la fecha de finalización planificada y la proyectada;B;El SPIt (o SPI basado en tiempo) compara la duración planificada con la duración proyectada, indicando si el proyecto puede recuperar el tiempo perdido con el ritmo actual.;Personas;Tarea 1: Gestionar conflictos;Predictivo;PMI Mindset: Los conflictos son naturales e inevitables. El PM debe resolverlos directamente con las partes involucradas antes de escalar.
292;En Kanban, ¿cuál es el propósito principal de establecer límites de WIP (Work In Progress)?;Limitar el número de personas en el equipo;Evitar la multitarea excesiva, mejorar el flujo y hacer visibles los cuellos de botella;Controlar el presupuesto del proyecto;Determinar la duración de cada iteración;B;Los WIP Limits en Kanban mejoran el flujo al evitar que el equipo asuma más trabajo del que puede completar simultáneamente, haciendo visibles los bloqueos y cuellos de botella del sistema.;Procesos;Tarea 15: Gestionar el cambio organizacional;Híbrido;PMI Mindset: Gestión del cambio organizacional = asegurar que el negocio adopte los resultados del proyecto. Sin adopción, no hay realización de beneficios.
293;¿Cuál es el propósito del 'Índice de Rendimiento de Costos para Completar' (TCPI)?;Calcular el costo total proyectado del proyecto;Determinar la eficiencia de costos requerida en el trabajo restante para cumplir el objetivo de presupuesto;Medir la eficiencia de costos actual del proyecto;Estimar el valor del trabajo completado hasta la fecha;B;TCPI indica qué tan eficiente debe ser el proyecto en el trabajo restante para cumplir el BAC (o EAC). Un TCPI > 1 indica que se debe ser más eficiente que hasta ahora.;Personas;Tarea 7: Demostrar liderazgo;Híbrido;PMI Mindset: Liderazgo situacional = adapta tu estilo (directivo/coaching/apoyo/delegación) según la madurez y motivación del miembro del equipo.
294;Un equipo ágil ha completado todos los elementos del Sprint Backlog dos días antes de que termine el sprint. ¿Cuál es la MEJOR acción?;Terminar el sprint anticipadamente;Descansar hasta el final del sprint;Colaborar con el Product Owner para seleccionar elementos adicionales del Product Backlog dentro de la capacidad del equipo;Usar el tiempo para refactorizar código sin consultar al Product Owner;C;En Scrum, si el equipo termina antes, puede colaborar con el Product Owner para seleccionar más elementos del backlog. Terminar el sprint anticipadamente viola el timebox.;Procesos;Tarea 2: Gestionar entregables;Predictivo;Orden de acciones: 1) Datos de desempeño → 2) Información de desempeño → 3) Informes de desempeño. El flujo de información sigue este orden.
295;¿Qué es la 'Gestión del Alcance del Proyecto' y cuáles son sus procesos clave?;Solo la validación de los entregables con el cliente;El conjunto de procesos que aseguran que el proyecto incluya todo el trabajo requerido, y solo ese trabajo, para completar el proyecto con éxito;La gestión de las solicitudes de cambio del alcance;La documentación técnica de los requisitos del sistema;B;La gestión del alcance incluye: planificar, recopilar requisitos, definir el alcance, crear la EDT, validar el alcance y controlar el alcance.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;PMI Mindset: La línea base de costos es la versión aprobada del presupuesto. Solo se cambia mediante el proceso formal de control de cambios.
296;En un entorno de alta incertidumbre, ¿qué enfoque recomienda el PMBOK 7 para maximizar el aprendizaje?;Invertir en planificación detallada para minimizar la incertidumbre;Adoptar ciclos cortos de trabajo con retroalimentación frecuente para aprender y adaptar;Contratar expertos externos para eliminar la incertidumbre técnica;Cancelar el proyecto hasta que el entorno sea más estable;B;El PMBOK 7 promueve los ciclos cortos de retroalimentación para aprender rápidamente y adaptar el enfoque. La iteración frecuente reduce el riesgo de invertir en dirección equivocada.;Personas;Tarea 10: Comprometer interesados;Híbrido;PMI Mindset: La colaboración con interesados crea alianzas. Los interesados comprometidos son el mayor activo del proyecto para superar obstáculos.
297;¿Cuál es el propósito de los 'criterios de aceptación' en un proyecto?;Definir el presupuesto máximo aceptable para el proyecto;Establecer las condiciones que deben cumplirse para que un entregable sea aceptado por el cliente o patrocinador;Determinar qué riesgos son aceptables para el proyecto;Especificar las condiciones de pago del contrato;B;Los criterios de aceptación son las condiciones medibles que un entregable debe cumplir para ser formalmente aceptado. Son la base para el proceso de Validar el Alcance.;Procesos;Tarea 13: Determinar metodología;Ágil;PMI Mindset Ágil: Kanban = flujo continuo, sin sprints. WIP limits evitan cuellos de botella. Mide con lead time y cycle time, no velocity.
298;En Scrum, ¿qué ocurre durante la 'Retrospectiva del Sprint'?;El equipo presenta el Incremento a los interesados;El equipo reflexiona sobre su proceso de trabajo e identifica mejoras para implementar en el próximo sprint;El Product Owner reprioriza el Product Backlog;Se planifica el trabajo del próximo sprint;B;La Retrospectiva del Sprint es un evento de mejora continua donde el equipo examina cómo trabajó (personas, relaciones, procesos, herramientas) y define acciones de mejora para el siguiente sprint.;Entorno;Tarea 4: Gestionar beneficios;Predictivo;PMI Mindset: El Sponsor es el dueño del caso de negocio y de la realización de beneficios. El PM reporta al sponsor el progreso hacia los beneficios.
299;¿Qué elemento del plan de gestión de riesgos define los niveles de riesgo aceptables para la organización?;El registro de riesgos;Las categorías de riesgo (RBS);El apetito al riesgo y los umbrales de riesgo;El plan de respuesta a riesgos;C;El apetito al riesgo define cuánto riesgo la organización está dispuesta a aceptar. Los umbrales definen el nivel específico a partir del cual el riesgo requiere acción. Ambos guían la planificación de respuestas.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;PMI Mindset: MVP (Minimum Viable Product) = menor entregable que genera valor real para el cliente. Permite validar hipótesis antes de invertir más.
300;¿Qué representa el 'Valor Planificado' (PV) en el análisis del valor ganado?;El costo real incurrido hasta la fecha de corte;El valor del trabajo realmente completado hasta la fecha de corte;El presupuesto autorizado para el trabajo planificado hasta la fecha de corte;La estimación del costo total al finalizar el proyecto;C;PV (Planned Value) es el presupuesto asignado al trabajo que debía haberse completado hasta la fecha de corte según el plan. Es el punto de referencia contra el que se compara el EV.;Personas;Tarea 13: Proporcionar coaching;Híbrido;"PMI Mindset: El PM como coach facilita que el equipo encuentre sus propias soluciones. No da respuestas; hace preguntas poderosas."
